Table Name,Short Name,,Latitude (average),Longitude (average),Icon,Country,
Solomon Islands,Solomon Islands,"'Solomon Islands',",-8.00,159.00,,Solomon Islands,1
Somalia,Somalia,"'Somalia',",10.00,49.00,,Somalia,1
South Africa,South Africa,"'South Africa',",-29.00,24.00,,South Africa,1
South Sudan,South Sudan,"'South Sudan',",4.90,31.60,,South Sudan,1
Spain,Spain,"'Spain',",40.00,-4.00,,Spain,1
Sri Lanka,Sri Lanka,"'Sri Lanka',",7.00,81.00,,Sri Lanka,1
St. Kitts and Nevis,St. Kitts and Nevis,"'St. Kitts and Nevis',",17.33,-62.75,,Saint Kitts and Nevis,
St. Lucia,St. Lucia,"'St. Lucia',",13.88,-61.13,,Saint Lucia,
St. Martin (French part),,"'St. Martin ',",18.00,63.00,,St. Martin ,
St. Vincent and the Grenadines,St. Vincent and the Grenadines,"'St. Vincent and the Grenadines',",13.25,-61.20,,Saint Vincent and the Grenadines,
Sudan,Sudan,"'Sudan',",15.00,30.00,,Sudan,
Suriname,Suriname,"'Suriname',",4.00,-56.00,,Suriname,1
Swaziland,Swaziland,"'Swaziland',",-26.50,31.50,,Swaziland,1
Sweden,Sweden,"'Sweden',",62.00,15.00,,Sweden,1
Switzerland,Switzerland,"'Switzerland',",47.00,8.00,,Switzerland,1
Syrian Arab Republic,Syrian Arab Republic,"'Syrian Arab Republic',",35.00,38.00,,Syrian Arab Republic,1
Tajikistan,Tajikistan,"'Tajikistan',",39.00,71.00,,Tajikistan,1
Tanzania,Tanzania,"'Tanzania',",-6.00,35.00,,"Tanzania, United Republic of",
Thailand,Thailand,"'Thailand',",15.00,100.00,,Thailand,1
Timor-Leste,Timor-Leste,"'Timor-Leste',",-8.55,125.52,,Timor-Leste,1
Togo,Togo,"'Togo',",8.00,1.17,,Togo,1
Tonga,Tonga,"'Tonga',",-20.00,-175.00,,Tonga,1
Trinidad and Tobago,Trinidad and Tobago,"'Trinidad and Tobago',",11.00,-61.00,,Trinidad and Tobago,1
Tunisia,Tunisia,"'Tunisia',",34.00,9.00,,Tunisia,1
Turkey,Turkey,"'Turkey',",39.00,35.00,,Turkey,1
Turkmenistan,Turkmenistan,"'Turkmenistan',",40.00,60.00,,Turkmenistan,1
Turks and Caicos Islands,Turks and Caicos Islands,"'Turks and Caicos Islands',",21.75,-71.58,,Turks and Caicos Islands,1
Tuvalu,Tuvalu,"'Tuvalu',",-8.00,178.00,,Tuvalu,1
Uganda,Uganda,"'Uganda',",1.00,32.00,,Uganda,1
